tuckyorose 1005846500583321601.hashtags     .16666666666666666666       1 6    0    3928 
russian 1005846500583321601.hashtags     .16666666666666666666       1 6    2    3928 
moscow 1005846500583321601.hashtags     .16666666666666666666       1 6    0    3928 
istandwithukraine 1005846500583321601.hashtags     .16666666666666666666       1 6    0    3928 
slavaukraini 1005846500583321601.hashtags     .16666666666666666666       1 6    1    3928 
befierce 1005846500583321601.hashtags     .16666666666666666666       1 6    0    3928 
scottyfrommarketing 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
putlnplast 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
ausvotes22 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
australia 1031000589054828544.hashtags     .10000000000000000000       1 10    1    3928 
votethemout 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
lnpdisgrace 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
solomonislands 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
alboforpm 1031000589054828544.hashtags     .10000000000000000000       1 10    0    3928 
auspol 1031000589054828544.hashtags     .10000000000000000000       1 10    159    3928 
ausvotes 1031000589054828544.hashtags     .20000000000000000000       2 10    19    3928 
cityonfire 1060440219097423872.hashtags     1.00000000000000000000       1 1    0    3928 
btc 1064312869414678528.hashtags     1.00000000000000000000       1 1    1    3928 
borisjohnsonout 1073606435580325889.hashtags     .20000000000000000000       1 5    0    3928 
toriesout 1073606435580325889.hashtags     .20000000000000000000       1 5    0    3928 
johnsonout 1073606435580325889.hashtags     .40000000000000000000       2 5    0    3928 
private 1073606435580325889.hashtags     .20000000000000000000       1 5    7    3928 
depop 1073606435580325889.hashtags     .20000000000000000000       1 5    1    3928 
votingrightsact 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
votingrightsnow 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
thursdaythoughts 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
thursdaymotivation 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
sinemaendsdemocracy 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
votingrights 1080844782.hashtags     .42857142857142857142       3 7    0    3928 
onthisday 1080844782.hashtags     .14285714285714285714       1 7    0    3928 
cbdc 1094095877302611969.hashtags     .33333333333333333333       1 3    1    3928 
tether 1094095877302611969.hashtags     .33333333333333333333       1 3    1    3928 
evergrande 1094095877302611969.hashtags     .33333333333333333333       1 3    1    3928 
covid19 1094971056358637568.hashtags     .20000000000000000000       2 10    7    3928 
omicron 1094971056358637568.hashtags     .10000000000000000000       1 10    12    3928 
longcovid 1094971056358637568.hashtags     .10000000000000000000       1 10    5    3928 
unsafeschools 1094971056358637568.hashtags     .10000000000000000000       1 10    0    3928 
nowarwithrussia 1094971056358637568.hashtags     .10000000000000000000       1 10    0    3928 
nowar 1094971056358637568.hashtags     .20000000000000000000       2 10    1    3928 
metoo 1094971056358637568.hashtags     .10000000000000000000       1 10    0    3928 
ba2 1094971056358637568.hashtags     .10000000000000000000       1 10    1    3928 
covid19 1094971056358637568.hashtags     .20000000000000000000       2 10    7    3928 
zerocovid 1094971056358637568.hashtags     .10000000000000000000       1 10    1    3928 
เจ้าแก้มก้อน 1095523459877068800.hashtags     .71428571428571428571       5 7    8    3928 
fluke_natouch 1095523459877068800.hashtags     .14285714285714285714       1 7    3    3928 
เจ้าแก้มก้อน 1095523459877068800.hashtags     .71428571428571428571       5 7    8    3928 
ไขมันของเจ้าแก้มก้อน 1095523459877068800.hashtags     .28571428571428571428       2 7    2    3928 
uwmaseries 1095523459877068800.hashtags     .14285714285714285714       1 7    0    3928 
เจ้าแก้มก้อน 1095523459877068800.hashtags     .71428571428571428571       5 7    8    3928 
ไขมันของเจ้าแก้มก้อน 1095523459877068800.hashtags     .28571428571428571428       2 7    2    3928 
covid19 1096205507348623360.hashtags     .14285714285714285714       1 7    7    3928 
votefordout2022 1096205507348623360.hashtags     .14285714285714285714       1 7    0    3928 
votethemallout2022 1096205507348623360.hashtags     .14285714285714285714       1 7    0    3928 
nevervoteconservative 1096205507348623360.hashtags     .14285714285714285714       1 7    0    3928 
flutruxklan 1096205507348623360.hashtags     .14285714285714285714       1 7    0    3928 
tinfoilofthemonth 1096205507348623360.hashtags     .14285714285714285714       1 7    0    3928 
bcpoli 1096205507348623360.hashtags     .14285714285714285714       1 7    9    3928 
endometriosis 1098451166306824193.hashtags     .33333333333333333333       1 3    1    3928 
auspol 1098451166306824193.hashtags     .33333333333333333333       1 3    159    3928 
journalismmatters 1098451166306824193.hashtags     .33333333333333333333       1 3    0    3928 
wetvxohmfluke 1098819491780153345.hashtags     .10000000000000000000       1 10    0    3928 
609bedtimestory 1098819491780153345.hashtags     .10000000000000000000       1 10    0    3928 
เจ้าแก้มก้อน 1098819491780153345.hashtags     .40000000000000000000       4 10    8    3928 
fluke_natouch 1098819491780153345.hashtags     .30000000000000000000       3 10    3    3928 
เจ้าแก้มก้อน 1098819491780153345.hashtags     .40000000000000000000       4 10    8    3928 
เจ้าแก้มก้อน 1098819491780153345.hashtags     .40000000000000000000       4 10    8    3928 
fluke_natouch 1098819491780153345.hashtags     .30000000000000000000       3 10    3    3928 
เจ้าแก้มก้อน 1098819491780153345.hashtags     .40000000000000000000       4 10    8    3928 
fluke_natouch 1098819491780153345.hashtags     .30000000000000000000       3 10    3    3928 
loveat9q22 1098819491780153345.hashtags     .10000000000000000000       1 10    0    3928 
redsheilds 1104524508709441536.hashtags     .50000000000000000000       1 2    0    3928 
